title,date,victim,malware_names,threat,impacts,location,data_source_link_url
SCADA Communictions Problems Cause Breakdown in Water Supply,01/01/2007,,,,,United States,https://icsstrive.com/incident/scada-communictions-problems-cause-breakdown-in-water-supply/
Pennsylvania Water Company Hack,01/01/2006,,,,,United States,https://icsstrive.com/incident/pennsylvania-water-company-hack/
Cyber worm shuts down 13 Auto plants in US,08/01/2005,Daimler Chrysler,Zotob Worm,,,United States,https://icsstrive.com/incident/cyber-worm-shuts-down-13-auto-plants-in-us/
Proposed Hack of UK Water Systems,01/01/2003,,,,,United Kingdom,https://icsstrive.com/incident/proposed-hack-of-uk-water-systems/
Disgruntled ex-employee dumps raw sewage,02/28/2000,Maroochy Shire Council,,Former Employee,,Australia,https://icsstrive.com/incident/disgruntled-ex-employee-dumps-raw-sewage/
Maroochy Shire Sewage Spill,01/01/2000,,,,,Australia,https://icsstrive.com/incident/maroochy-shire-sewage-spill/
Navy Radar Shuts Down SCADA Systems,01/01/1999,,,,,United States,https://icsstrive.com/incident/navy-radar-shuts-down-scada-systems/
Computer Flaw Makes Water Undrinkable,01/01/1998,,,,,United States,https://icsstrive.com/incident/computer-flaw-makes-water-undrinkable/
Auto Manufacturer Hacked,01/01/2012,,,,,United States,https://icsstrive.com/incident/auto-manufacturer-hacked/
Disgruntled Employee Remotely Disables Cars using the Webtech Plus System,01/01/2010,,,,,United States,https://icsstrive.com/incident/disgruntled-employee-remotely-disables-cars-using-the-webtech-plus-system/
Car Manufacturer Infected with Computer Virus,01/01/2008,,,,,Japan,https://icsstrive.com/incident/car-manufacturer-infected-with-computer-virus/
"Zotob, PnP Worms Hit 13 Automotive Manufacturing Plants",01/01/2005,,,,,United States,https://icsstrive.com/incident/zotob-pnp-worms-hit-13-automotive-manufacturing-plants/
Slammer Worm Hits Major US Auto Manufacturer,01/01/2003,,,,,United States,https://icsstrive.com/incident/slammer-worm-hits-major-us-auto-manufacturer/
Control system failure caused phosphine leak,01/01/2011,,,,,India,https://icsstrive.com/incident/control-system-failure-caused-phosphine-leak/
PC_SALITY.EN Virus Infects DCS Servers and Historians,01/01/2009,,,,,South Africa,https://icsstrive.com/incident/pc_sality-en-virus-infects-dcs-servers-and-historians/
Chemical Plant Explosion,01/01/2008,,,,,United States,https://icsstrive.com/incident/chemical-plant-explosion/
Sasser Worm Causes Loss of View in Chemicals Plant,01/01/2004,,,,,United States,https://icsstrive.com/incident/sasser-worm-causes-loss-of-view-in-chemicals-plant/
Nachi Worm on Advanced Process Control Servers,01/01/2003,,,,,France,https://icsstrive.com/incident/nachi-worm-on-advanced-process-control-servers/
Contractor Accidentally Connects to Remote PLC,01/01/2003,,,,,United States,https://icsstrive.com/incident/contractor-accidentally-connects-to-remote-plc/
Infected New HMI Infects Chemical Plant DCS,01/01/2003,,,,,Europe,https://icsstrive.com/incident/infected-new-hmi-infects-chemical-plant-dcs/
Blaster Worm Infects Chemical Plant,01/01/2003,,,,,United Kingdom,https://icsstrive.com/incident/blaster-worm-infects-chemical-plant/
IP Address Change Shuts Down Chemical Plant,01/01/2002,,,,,United States,https://icsstrive.com/incident/ip-address-change-shuts-down-chemical-plant/
Hacker Changes Chemical Plant Set Points via Modem,01/01/2002,,,,,Canada,https://icsstrive.com/incident/hacker-changes-chemical-plant-set-points-via-modem/
SCADA Attack on Production Plant of Global Chemical Company,01/01/2001,,,,,Unknown,https://icsstrive.com/incident/scada-attack-on-production-plant-of-global-chemical-company/
Union Carbide Chemical Leak West Virginia,01/01/1985,,,,,United States,https://icsstrive.com/incident/union-carbide-chemical-leak-west-virginia/
Backdoor Trojan Attack on Manufacturing Lab,01/01/2004,,,,,Unknown,https://icsstrive.com/incident/backdoor-trojan-attack-on-manufacturing-lab/
Reverse Osmosis System PLC Attacked,01/01/2002,,,,,United States,https://icsstrive.com/incident/reverse-osmosis-system-plc-attacked/
Hackers Crash Controller via Web Service,01/01/2002,,,,,United Kingdom,https://icsstrive.com/incident/hackers-crash-controller-via-web-service/
Omega Engineering Sabotage,01/01/1996,,,,,United States,https://icsstrive.com/incident/omega-engineering-sabotage/
PLC Crash In Food Plant,01/01/2005,,,,,United States,https://icsstrive.com/incident/plc-crash-in-food-plant/
Software Vendor Patch Crashes SCADA System,01/01/2005,,,,,United Kingdom,https://icsstrive.com/incident/software-vendor-patch-crashes-scada-system/
Partial Loss of PLC Program,01/01/2005,,,,,United Kingdom,https://icsstrive.com/incident/partial-loss-of-plc-program/
Coors Brewing Shutdown,01/01/2004,,,,,United States,https://icsstrive.com/incident/coors-brewing-shutdown/
Loss of Network Traffic on PCN,01/01/2004,,,,,United States,https://icsstrive.com/incident/loss-of-network-traffic-on-pcn/
Infected Laptop Infects SCADA Network,01/01/2004,,,,,United Kingdom,https://icsstrive.com/incident/infected-laptop-infects-scada-network/
Nimda Impact on Manufacturing System,01/01/2001,,,,,United States,https://icsstrive.com/incident/nimda-impact-on-manufacturing-system/
Windows Compiler Causes PLC Code to Crash PLC,01/01/2001,,,,,United Kingdom,https://icsstrive.com/incident/windows-compiler-causes-plc-code-to-crash-plc/
Virus Infection On DCS,01/01/1999,,,,,United Kingdom,https://icsstrive.com/incident/virus-infection-on-dcs/
Wrong Code Downloaded to PLC Causes Plant to Shutdown,01/01/1997,,,,,United Kingdom,https://icsstrive.com/incident/wrong-code-downloaded-to-plc-causes-plant-to-shutdown/
New Serial Communications Line Disrupts Network,01/01/1997,,,,,United Kingdom,https://icsstrive.com/incident/new-serial-communications-line-disrupts-network/
Software Manufacturing Company Firewall Breach,01/01/2012,,,,,Canada,https://icsstrive.com/incident/software-manufacturing-company-firewall-breach/
Malware Shuts Down Milling Factory,01/01/2010,,,,,Iran,https://icsstrive.com/incident/malware-shuts-down-milling-factory/
Former System Administrator Sentenced for Wrecking Corporate Servers,01/01/2007,,,,,United States,https://icsstrive.com/incident/former-system-administrator-sentenced-for-wrecking-corporate-servers/
Trojan Found on SCADA Server,01/01/2006,,,,,Russia,https://icsstrive.com/incident/trojan-found-on-scada-server/
Single PLC Lost For Unknown Reason,01/01/2003,,,,,United States,https://icsstrive.com/incident/single-plc-lost-for-unknown-reason/
Accidental Remote Control,01/01/2000,,,,,Sweden,https://icsstrive.com/incident/accidental-remote-control/
Steel plant infected with Conficker,01/01/2011,,,,,,https://icsstrive.com/incident/steel-plant-infected-with-conficker/
Steel Plant infection with Ahack Worm,01/01/2008,,,,,Brazil,https://icsstrive.com/incident/steel-plant-infection-with-ahack-worm/
Blaster Impacts HMI Stations in Smelter,01/01/2003,,,,,Canada,https://icsstrive.com/incident/blaster-impacts-hmi-stations-in-smelter/
11 Ethernet PLCs Fail At Once,01/01/2003,,,,,United States,https://icsstrive.com/incident/11-ethernet-plcs-fail-at-once/
Software Bug Blamed in Radioactive Spill,01/01/2002,,,,,Australia,https://icsstrive.com/incident/software-bug-blamed-in-radioactive-spill/
Computer Glitch Causes Roller Coaster Malfunction,01/01/2012,,,,,United States,https://icsstrive.com/incident/computer-glitch-causes-roller-coaster-malfunction/
Industrial Control System Hacked Using Backdoor Posted Online,01/01/2012,,,,,United States,https://icsstrive.com/incident/industrial-control-system-hacked-using-backdoor-posted-online/
Malware Shuts Down Hospital,01/01/2011,,,,,United States,https://icsstrive.com/incident/malware-shuts-down-hospital/
Computer Virus Strikes Two Scottish Hospitals,01/01/2009,,,,,United Kingdom,https://icsstrive.com/incident/computer-virus-strikes-two-scottish-hospitals/
Hospital HVAC Hack,01/01/2009,,,,,United States,https://icsstrive.com/incident/hospital-hvac-hack/
Environmental Southland Target of Cyber Vandals,01/01/2009,,,,,New Zealand,https://icsstrive.com/incident/environmental-southland-target-of-cyber-vandals/
Computer Virus Infects Three London Hospitals,01/01/2008,,,,,United Kingdom,https://icsstrive.com/incident/computer-virus-infects-three-london-hospitals/
Hacker Activates Emergency Sirens,01/01/2008,,,,,United States,https://icsstrive.com/incident/hacker-activates-emergency-sirens/
"Automated Antiaircraft Cannon Malfunctions, Kills 9, Wounds 14",01/01/2007,,,,,South Africa,https://icsstrive.com/incident/automated-antiaircraft-cannon-malfunctions-kills-9-wounds-14/
Cancer Treatment Delayed by Virus,01/01/2006,,,,,United Kingdom,https://icsstrive.com/incident/cancer-treatment-delayed-by-virus/
UK Maritime and Coastguard Agency Hit by Sasser Worm,01/01/2004,,,,,United Kingdom,https://icsstrive.com/incident/uk-maritime-and-coastguard-agency-hit-by-sasser-worm/
Blockage of 12 Out Of 13 PLC Systems,01/01/2004,,,,,Switzerland,https://icsstrive.com/incident/blockage-of-12-out-of-13-plc-systems/
Weekly Connection Loss to PLCs,01/01/2004,,,,,Switzerland,https://icsstrive.com/incident/weekly-connection-loss-to-plcs/
Instability of the OSI Layer-2 Bridging,01/01/2004,,,,,Switzerland,https://icsstrive.com/incident/instability-of-the-osi-layer-2-bridging/
Sasser Infection from the Enterprise Network,01/01/2004,,,,,Unknown,https://icsstrive.com/incident/sasser-infection-from-the-enterprise-network/
Change of Network Service Stopped OSI Layer-2 Communication,01/01/2003,,,,,Switzerland,https://icsstrive.com/incident/change-of-network-service-stopped-osi-layer-2-communication/
Penetration Test Locks-Up Gas Utility SCADA System,01/01/2002,,,,,Unknown,https://icsstrive.com/incident/penetration-test-locks-up-gas-utility-scada-system/
Ping Sweep Causes PCS System to Hang,01/01/1998,,,,,Unknown,https://icsstrive.com/incident/ping-sweep-causes-pcs-system-to-hang/
Ping Sweep Causes Inappropriate Control of a 9 Foot Robotic Arm,01/01/1998,,,,,Unknown,https://icsstrive.com/incident/ping-sweep-causes-inappropriate-control-of-a-9-foot-robotic-arm/
Shamoon virus knocks out computers at Qatari gas firm RasGas,01/01/2012,,,,,Qatar,https://icsstrive.com/incident/shamoon-virus-knocks-out-computers-at-qatari-gas-firm-rasgas/
Process Control Network Infected with a Virus,01/01/2012,,,,,,https://icsstrive.com/incident/process-control-network-infected-with-a-virus/
Gas Company Virus Infection,01/01/2012,,,,,,https://icsstrive.com/incident/gas-company-virus-infection/
Computer Virus Targets Saudi Arabian Oil Company,01/01/2012,,,,,Saudi Arabia,https://icsstrive.com/incident/computer-virus-targets-saudi-arabian-oil-company/
Computer Glitch Prevents Return of Gas Service,01/01/2011,,,,,Israel,https://icsstrive.com/incident/computer-glitch-prevents-return-of-gas-service/
Trans-Alaska pipeline spill,01/01/2010,,,,,United States,https://icsstrive.com/incident/trans-alaska-pipeline-spill/
Refinery Explosion and Fire Caused by Non-Functioning Computerized Level Monitoring System,01/01/2009,,,,,United States,https://icsstrive.com/incident/refinery-explosion-and-fire-caused-by-non-functioning-computerized-level-monitoring-system/
Hacker Disabled Offshore Oil Platforms,01/01/2008,,,,,United States,https://icsstrive.com/incident/hacker-disabled-offshore-oil-platforms/
Baku-Tbilisi-Ceyhan Pipeline explosion,01/01/2008,,,,,Turkey,https://icsstrive.com/incident/baku-tbilisi-ceyhan-pipeline-explosion/
Ping Sweep Caused DOS on PCN Firewall,01/01/2005,,,,,United Kingdom,https://icsstrive.com/incident/ping-sweep-caused-dos-on-pcn-firewall/
Two Viruses Cause Near Miss With Process Control Networks (PCN) in Africa,01/01/2004,,,,,Chad,https://icsstrive.com/incident/two-viruses-cause-near-miss-with-process-control-networks-pcn-in-africa/
Sasser Worm Infection in Process Control System.,01/01/2004,,,,,United Kingdom,https://icsstrive.com/incident/sasser-worm-infection-in-process-control-system/
Worm attack on Drilling Control system,01/01/2004,,,,,United Kingdom,https://icsstrive.com/incident/worm-attack-on-drilling-control-system/
Telco Shuts Off Critical SCADA Comms,01/01/2003,,,,,Canada,https://icsstrive.com/incident/telco-shuts-off-critical-scada-comms/
Slammer Infected Laptop Shuts Down DCS,01/01/2003,,,,,United Kingdom,https://icsstrive.com/incident/slammer-infected-laptop-shuts-down-dcs/
Slammer Impacts Offshore Platforms,01/01/2003,,,,,United States,https://icsstrive.com/incident/slammer-impacts-offshore-platforms/
SQL Slammer Impacts Drill Site,01/01/2003,,,,,United States,https://icsstrive.com/incident/sql-slammer-impacts-drill-site/
Welchia Worm Infects Automation Network,01/01/2003,,,,,United States,https://icsstrive.com/incident/welchia-worm-infects-automation-network/
MUMU Infection of Leak Detection System,01/01/2003,,,,,United Kingdom,https://icsstrive.com/incident/mumu-infection-of-leak-detection-system/
MUMU Infection of Fiscal Metering System,01/01/2003,,,,,United Kingdom,https://icsstrive.com/incident/mumu-infection-of-fiscal-metering-system/
MUMU Infection of Operator Training System,01/01/2003,,,,,United States,https://icsstrive.com/incident/mumu-infection-of-operator-training-system/
Virus/Worm Infects New Oil Platform,01/01/2003,,,,,Norway,https://icsstrive.com/incident/virus-worm-infects-new-oil-platform/
Blaster Infects Onshore Oil Production Control System,01/01/2003,,,,,United States,https://icsstrive.com/incident/blaster-infects-onshore-oil-production-control-system/
Control System Infected with SQLslammer Worm,01/01/2003,,,,,Unknown,https://icsstrive.com/incident/control-system-infected-with-sqlslammer-worm/
Whitehat Takeover of DCS Consoles,01/01/2002,,,,,Canada,https://icsstrive.com/incident/whitehat-takeover-of-dcs-consoles/
Electronic Sabatoge of Venezuela Oil Operations,01/01/2002,,,,,Venezuela,https://icsstrive.com/incident/electronic-sabatoge-of-venezuela-oil-operations/
Virus Infection of Operator Training Simulator,01/01/2002,,,,,Canada,https://icsstrive.com/incident/virus-infection-of-operator-training-simulator/
Anti-Virus Software Prevents Boiler Safety Shutdown,01/01/2001,,,,,United States,https://icsstrive.com/incident/anti-virus-software-prevents-boiler-safety-shutdown/
Electronic Sabotage of Petroleum Company’s Gas Processing Plant2001,01/01/2001,,,,,United States,https://icsstrive.com/incident/electronic-sabotage-of-petroleum-companys-gas-processing-plant2001/
Code Red Worm Defaces Automation Web Pages,01/01/2001,,,,,United States,https://icsstrive.com/incident/code-red-worm-defaces-automation-web-pages/
Accidental Remote Uploading of PLC Program,01/01/2000,,,,,Canada,https://icsstrive.com/incident/accidental-remote-uploading-of-plc-program/
Hacker Takes Over Russian Gas System,01/01/1999,,,,,Russian Federation,https://icsstrive.com/incident/hacker-takes-over-russian-gas-system/
Olympic Pipeline Rupture and Subsequent Fire,01/01/1999,,,,,United States,https://icsstrive.com/incident/olympic-pipeline-rupture-and-subsequent-fire/
Oil Company SCADA System Impacted by RF Interference,01/01/1989,,,,,United States,https://icsstrive.com/incident/oil-company-scada-system-impacted-by-rf-interference/
CIA Trojan Causes Siberian Gas Pipeline Explosion,01/01/1982,,,,,Russian Federation,https://icsstrive.com/incident/cia-trojan-causes-siberian-gas-pipeline-explosion/
Hacker froze operations at pharmaceutical company,01/01/2011,,,,,United States,https://icsstrive.com/incident/hacker-froze-operations-at-pharmaceutical-company/
Ethernet Network Storm Zaps Multiple PLC5’s,01/01/2003,,,,,United States,https://icsstrive.com/incident/ethernet-network-storm-zaps-multiple-plc5s/
Russian-Based Dragonfly Group Attacks Energy Industry,01/01/2014,,,,,United States,https://icsstrive.com/incident/russian-based-dragonfly-group-attacks-energy-industry/
"Public utility compromised after brute-force hack attack, says Homeland Security",01/01/2014,,,,,United States,https://icsstrive.com/incident/public-utility-compromised-after-brute-force-hack-attack-says-homeland-security/
